CountryShort ;Year;  ValueNumeric   ;Unit;Market_Sector;Data_source ;Date ;;;Notes:;Data until 2020 are calculated on the basis of Directive 2009/28/EC, while data for 2021 follow Directive (EU) 2018/2001.;;;;;2011-2012 average;2013-2014 average;2015-2016 average;2017-2018 average;S2005 (1);"
2011-2012";"indicative
2013-2014";"
2015-2016";"trajectory
2017-2018";2020 target;;;;;;;;
AL;2022;0,442105209;%;Total;EEA;09/Oct/23;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
MK;2022;0,182326892;%;Total;EEA;09/Oct/23;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
XK;2022;0,333471713;%;Total;EEA;09/Oct/23;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
MD;2022;0,237793841;%;Total;EEA;09/Oct/23;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
GE;2022;0,183743685;%;Total;EEA;09/Oct/23;;;;;;;;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;;;;;;;
EU27;2022;0,087224229;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
BE;2022;0,103984321;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
BG;2022;0,077061563;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
CZ;2022;0,06714595;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
DK;2022;0,099688362;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
DE;2022;0,079976632;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
EE;2022;0,133188825;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
IE;2022;0,043905848;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
EL;2022;0,044000195;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
ES;2022;0,0875972;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
FR;2022;0,082842107;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
HR;2022;0,071166023;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
IT;2022;0,083014247;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
CY;2022;0,066618504;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
LV;2022;0,065520411;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
LT;2022;0,061213277;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
LU;2022;0,099162616;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
HU;2022;0,061072895;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
MT;2022;0,111855868;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
NL;2022;0,092982129;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
AT;2022;0,099345704;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
PL;2022;0,056847987;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
PT;2022;0,082728962;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
RO;2022;0,076514278;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
SI;2022;0,072635358;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
SK;2022;0,06664988;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
FI;2022;0,194327875;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
SE;2022;0,307668808;%;Transport;EEA;09/Oct/23;;;;;;;;;0;;;;;;;;;;;;;;;;;
IS;2022;0,129282983;%;Transport;EEA;09/Oct/23;;;;;;;;;:;;;;;;;;;;;;;;;;;
NO;2022;0,194276799;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
ME;2022;0,002927999;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
RS;2022;0,006617183;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
AL;2022;0,00341012;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
MK;2022;0,000526859;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
XK;2022;0;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
MD;2022;0,00015136;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
GE;2022;0,015447922;%;Transport;EEA;09/Oct/23;;;;;;;;;0,0;;;;;;;;;;;;;;;;;
EU27;2022;0,407174369;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
BE;2022;0,288536008;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
BG;2022;0,19742104;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CZ;2022;0,154843387;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DK;2022;0,667944294;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
DE;2022;0,4682658;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EE;2022;0,291000749;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IE;2022;0,373724959;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
EL;2022;0,446813698;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
ES;2022;0,507980181;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
FR;2022;0,275790061;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HR;2022;0,540327851;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
IT;2022;0,367879073;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
CY;2022;0,170380555;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LV;2022;0,532283729;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LT;2022;0,245531164;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
LU;2022;0,149630839;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
HU;2022;0,155040209;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
MT;2022;0,101245977;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
NL;2022;0,397527412;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
AT;2022;0,792995639;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
PL;2022;0,20174232;%;Electricity;EEA;09/Oct/23;;;;;;;;;;;;;;;;;;;;;;;;;;
